SUBMOSTRA;DL;DE;F/MAX;F/DEP;F/ID;M/MAX
175;7;0,28;7;0;0;0;
176;0;0,0;0;0;0;0;
177;0;0,0;0;0;0;5;
178;1;0,028571429;0;0;1;0;
179;3;0,115384616;2;0;0;2;
180;3;0,078947365;2;0;0;0;
181;6;0,19354838;6;0;0;3;
182;0;0,0;0;0;0;0;
183;0;0,0;0;0;0;0;
184;2;0,2857143;0;1;0;0;
185;6;0,20689656;4;0;0;2;
186;0;0,0;0;0;0;0;
187;0;0,0;0;0;0;0;
188;4;0,16;3;0;0;0;
189;2;0,11111111;0;0;2;0;
190;2;0,044444446;0;0;2;9;
191;3;0,071428575;0;0;3;4;
192;6;0,13043478;3;0;0;6;
193;0;0,0;0;0;0;9;
194;22;0,41509435;17;0;0;19;
195;0;0,0;0;0;0;2;
196;12;0,29268292;12;0;0;0;
197;13;0,203125;11;0;0;18;
198;7;0,12962963;6;0;0;17;
199;4;0,13793103;3;0;0;1;
200;1;0,033333335;0;0;1;7;
201;6;0,08955224;4;0;0;29;
202;18;0,26086956;17;0;0;4;
203;4;0,09090909;3;0;0;10;
204;7;0,16666667;7;0;0;6;
205;16;0,23529412;15;0;0;31;
206;3;0,115384616;3;0;0;0;
207;0;0,0;0;0;0;0;
208;25;0,5208333;25;0;0;1;
209;15;0,24590164;15;0;0;21;
210;21;0,40384614;21;0;0;7;
211;7;0,28;6;0;0;2;
212;16;0,29090908;14;0;0;3;
213;5;0,094339624;2;0;0;15;
214;15;0,2173913;11;0;0;13;
215;37;0,44047618;33;0;0;18;
216;10;0,2;10;0;0;9;
217;4;0,121212125;0;3;0;9;
218;17;0,25;14;0;0;15;
219;2;0,05;0;0;2;2;
220;28;0,33333334;24;0;0;14;
221;18;0,41860464;17;0;0;4;
222;4;0,1;3;0;0;7;
223;3;0,12;0;1;0;0;
224;0;0,0;0;0;0;0;
225;2;0,2;0;0;2;0;
226;1;0,021276595;0;0;1;20;
227;3;0,07692308;3;0;0;0;
228;11;0,25581396;10;0;0;4;
229;3;0,13043478;3;0;0;1;
230;4;0,14285715;4;0;0;1;
231;0;0,0;0;0;0;0;
232;5;0,11111111;3;0;0;18;
233;7;0,2413793;2;0;0;0;
234;0;0,0;0;0;0;0;
235;0;0,0;0;0;0;0;
236;19;0,3275862;11;0;0;2;
237;14;0,31111112;9;0;0;1;
238;0;0,0;0;0;0;0;
239;2;0,0952381;0;0;2;0;
240;0;0,0;0;0;0;0;
241;5;0,45454547;5;0;0;0;
242;0;0,0;0;0;0;0;
243;0;0,0;0;0;0;0;
244;2;0,036363635;0;0;2;26;
245;2;0,1;0;0;2;0;
246;0;0,0;0;0;0;0;
247;0;0,0;0;0;0;0;
248;0;0,0;0;0;0;0;
249;3;0,069767445;3;0;0;4;
250;1;0,05882353;0;0;1;0;
251;2;0,10526316;0;0;2;0;
252;3;0,05882353;0;1;0;6;
253;2;0,1;0;0;2;0;
254;0;0,0;0;0;0;0;
255;0;0,0;0;0;0;0;
256;6;0,10714286;4;0;0;8;
257;0;0,0;0;0;0;0;
258;0;0,0;0;0;0;2;
259;6;0,13333334;4;0;0;12;
260;3;0,1875;0;1;0;0;
261;2;0,0625;0;0;2;0;
262;0;0,0;0;0;0;0;
263;6;0,13333334;2;0;0;18;
264;0;0,0;0;0;0;11;
265;0;0,0;0;0;0;1;
266;3;0,1;3;0;0;1;
267;0;0,0;0;0;0;0;
268;1;0,02631579;0;0;1;0;
269;0;0,0;0;0;0;0;
270;6;0,12244898;5;0;0;25;
271;3;0,09375;3;0;0;12;
272;0;0,0;0;0;0;11;
273;0;0,0;0;0;0;0;
274;0;0,0;0;0;0;0;
275;0;0,0;0;0;0;0;
276;0;0,0;0;0;0;0;
277;12;0,21052632;12;0;0;18;
278;2;0,11764706;0;0;2;2;
279;0;0,0;0;0;0;0;
280;6;0,13043478;3;0;0;0;
281;0;0,0;0;0;0;0;
282;0;0,0;0;0;0;0;
283;0;0,0;0;0;0;0;
284;2;0,08;0;0;2;0;
285;0;0,0;0;0;0;0;
286;0;0,0;0;0;0;11;
287;0;0,0;0;0;0;0;
288;2;0,060606062;2;0;0;4;
289;0;0,0;0;0;0;0;
290;0;0,0;0;0;0;0;
291;0;0,0;0;0;0;0;
292;1;0,14285715;0;0;1;0;
293;0;0,0;0;0;0;0;
294;0;0,0;0;0;0;3;
295;0;0,0;0;0;0;0;
296;0;0,0;0;0;0;0;
297;0;0,0;0;0;0;0;
298;0;0,0;0;0;0;0;
299;9;0,225;9;0;0;14;
300;6;0,2;4;0;0;3;
301;4;0,08695652;3;0;0;24;
302;5;0,17857143;5;0;0;6;
303;0;0,0;0;0;0;2;
304;24;0,53333336;12;0;0;10;
305;13;0,3611111;0;1;0;20;
306;2;0,057142857;2;0;0;0;
307;0;0,0;0;0;0;5;
308;9;0,27272728;8;0;0;3;
309;20;0,29850745;20;0;0;29;
310;1;0,055555556;0;0;1;0;
311;0;0,0;0;0;0;0;
312;11;0,18965517;9;0;0;3;
313;0;0,0;0;0;0;15;
314;8;0,44444445;8;0;0;0;
315;0;0,0;0;0;0;12;
316;6;0,22222222;2;0;0;9;
317;5;0,11904762;5;0;0;0;
318;4;0,16;4;0;0;6;
319;0;0,0;0;0;0;0;
320;3;0,06666667;2;0;0;1;
321;3;0,08571429;0;1;0;12;
322;2;0,22222222;0;0;2;0;
323;11;0,2244898;10;0;0;10;
324;7;0,36842105;7;0;0;0;
325;1;0,03125;0;0;1;8;
326;59;0,5412844;58;0;0;6;
327;1;0,022727273;0;0;1;8;
328;1;0,0625;0;0;1;0;
329;0;0,0;0;0;0;0;
330;0;0,0;0;0;0;0;
331;0;0,0;0;0;0;0;
332;13;0,44827586;2;0;0;2;
333;0;0,0;0;0;0;0;
334;5;0,1923077;2;0;0;0;
335;3;0,1;3;0;0;2;
336;17;0,27419356;14;0;0;17;
337;7;0,2;7;0;0;0;
338;10;0,24390244;9;0;0;8;
339;10;0,18518518;8;0;0;26;
340;3;0,125;3;0;0;1;
341;27;0,43548387;17;0;0;10;
342;16;0,53333336;13;0;0;0;
343;19;0,5135135;19;0;0;0;
344;1;0,023255814;0;1;0;1;
345;9;0,15517241;8;0;0;19;
346;1;0,01923077;0;0;1;9;
347;20;0,37037036;15;0;0;3;
348;7;0,2413793;7;0;0;0;
349;10;0,1369863;10;0;0;37;
350;9;0,20454545;7;0;0;1;
351;5;0,14705883;4;0;0;0;
352;0;0,0;0;0;0;3;
353;3;0,125;3;0;0;0;
354;4;0,083333336;2;0;0;20;
355;10;0,2;7;0;0;21;
356;13;0,38235295;11;0;0;0;
357;15;0,28846154;13;0;0;0;
358;6;0,14285715;4;0;0;13;
359;9;0,25714287;7;0;0;1;
360;0;0,0;0;0;0;29;
361;26;0,30588236;25;0;0;25;
362;0;0,0;0;0;0;3;
363;0;0,0;0;0;0;9;
364;27;0,3068182;23;0;0;32;
365;0;0,0;0;0;0;0;
366;5;0,11627907;3;0;0;0;
367;0;0,0;0;0;0;0;
368;1;0,037037037;0;0;1;0;
369;2;0,05882353;0;0;2;4;
370;31;0,41333333;26;0;0;23;
371;0;0,0;0;0;0;0;
372;71;0,54198474;71;0;0;31;
373;0;0,0;0;0;0;0;
374;3;0,10344828;3;0;0;6;
375;5;0,10204082;0;0;5;24;
376;2;0,057142857;2;0;0;0;
377;0;0,0;0;0;0;0;
378;0;0,0;0;0;0;0;
379;0;0,0;0;0;0;1;
380;20;0,32786885;15;0;0;22;
381;3;0,0625;2;0;0;0;
382;5;0,125;1;0;0;9;
383;0;0,0;0;0;0;11;
384;3;0,125;1;0;0;2;
385;37;0,4065934;37;0;0;30;
386;0;0,0;0;0;0;0;
387;20;0,37037036;11;0;0;1;
388;2;0,10526316;0;0;2;0;
389;0;0,0;0;0;0;13;
390;0;0,0;0;0;0;0;
391;28;0,3181818;25;0;0;30;
392;0;0,0;0;0;0;0;
393;2;0,06896552;0;0;2;0;
394;0;0,0;0;0;0;0;
395;4;0,22222222;0;4;0;0;
396;5;0,11904762;2;0;0;0;
397;0;0,0;0;0;0;0;
398;19;0,4318182;9;0;0;5;
399;1;0,027777778;0;0;1;7;
400;19;0,42222223;16;0;0;6;
401;11;0,2037037;10;0;0;7;
402;3;0,06818182;3;0;0;2;
403;3;0,071428575;0;0;3;17;
404;2;0,036363635;0;0;2;3;
405;11;0,25;11;0;0;6;
406;0;0,0;0;0;0;0;
407;3;0,115384616;3;0;0;0;
408;25;0,3472222;19;0;0;10;
409;11;0,16666667;11;0;0;24;
410;4;0,09090909;0;1;0;0;
411;2;0,14285715;0;0;2;1;
412;4;0,121212125;1;0;0;3;
413;2;0,055555556;0;0;2;6;
414;0;0,0;0;0;0;0;
415;9;0,2647059;7;0;0;0;
416;0;0,0;0;0;0;4;
417;7;0,175;6;0;0;0;
418;0;0,0;0;0;0;0;
419;8;0,13114753;4;0;0;21;
420;6;0,12765957;5;0;0;13;
421;3;0,1;3;0;0;1;
422;0;0,0;0;0;0;4;
423;0;0,0;0;0;0;0;
424;0;0,0;0;0;0;19;
425;10;0,17857143;10;0;0;19;
426;0;0,0;0;0;0;0;
427;0;0,0;0;0;0;0;
428;2;0,060606062;0;1;0;0;
429;0;0,0;0;0;0;9;
430;0;0,0;0;0;0;3;
431;0;0,0;0;0;0;0;
432;4;0,44444445;4;0;0;0;
433;4;0,44444445;4;0;0;0;
434;1;0,14285715;0;0;1;0;
435;0;0,0;0;0;0;0;
436;0;0,0;0;0;0;0;
437;0;0,0;0;0;0;0;
438;1;0,05263158;0;1;0;0;
439;4;0,07272727;0;1;0;16;
440;1;0,041666668;0;0;1;0;
441;1;0,024390243;0;0;1;0;
442;4;0,09756097;4;0;0;3;
443;10;0,41666666;8;0;0;0;
444;0;0,0;0;0;0;6;
445;5;0,3125;3;0;0;0;
446;0;0,0;0;0;0;0;
447;0;0,0;0;0;0;0;
448;0;0,0;0;0;0;1;
449;0;0,0;0;0;0;7;
450;0;0,0;0;0;0;0;
451;2;0,07692308;0;0;2;0;
452;1;0,05263158;0;0;1;1;
453;0;0,0;0;0;0;0;
454;0;0,0;0;0;0;0;
455;7;0,14583333;5;0;0;12;
456;3;0,083333336;3;0;0;2;
457;1;0,01923077;0;0;1;8;
458;0;0,0;0;0;0;0;
459;0;0,0;0;0;0;30;
460;0;0,0;0;0;0;2;
461;2;0,051282052;0;0;2;3;
462;5;0,14285715;5;0;0;1;
463;1;0,035714287;0;0;1;0;
464;7;0,19444445;7;0;0;0;
465;1;0,016393442;0;0;1;33;
466;0;0,0;0;0;0;0;
467;0;0,0;0;0;0;5;
468;15;0,2777778;13;0;0;10;
469;0;0,0;0;0;0;6;
470;5;0,12820514;0;4;0;0;
471;0;0,0;0;0;0;1;
472;0;0,0;0;0;0;20;
473;0;0,0;0;0;0;0;
474;0;0,0;0;0;0;14;
475;0;0,0;0;0;0;0;
476;0;0,0;0;0;0;0;
477;16;0,2962963;16;0;0;13;
478;0;0,0;0;0;0;0;
479;0;0,0;0;0;0;0;
480;0;0,0;0;0;0;0;
481;0;0,0;0;0;0;0;
482;3;0,08108108;1;0;0;6;
483;0;0,0;0;0;0;0;
484;1;0,016949153;0;0;1;19;
485;0;0,0;0;0;0;28;
486;5;0,11627907;0;2;0;0;
487;3;0,05;2;0;0;31;
488;1;0,04;0;0;1;1;
489;1;0,05263158;0;0;1;2;
490;0;0,0;0;0;0;0;
491;0;0,0;0;0;0;11;
492;0;0,0;0;0;0;10;
493;3;0,057692308;3;0;0;18;
494;2;0,046511628;1;0;0;13;
495;0;0,0;0;0;0;26;
496;1;0,01724138;0;1;0;29;
497;1;0,023809524;0;0;1;13;
498;0;0,0;0;0;0;0;
499;0;0,0;0;0;0;0;
500;0;0,0;0;0;0;0;
501;0;0,0;0;0;0;0;
502;0;0,0;0;0;0;8;
503;1;0,035714287;0;0;1;0;
504;1;0,015873017;0;0;1;23;
505;0;0,0;0;0;0;4;
506;0;0,0;0;0;0;2;
507;3;0,06122449;3;0;0;3;
508;3;0,07692308;3;0;0;0;
509;0;0,0;0;0;0;0;
510;0;0,0;0;0;0;2;
511;0;0,0;0;0;0;12;
512;0;0,0;0;0;0;8;
513;0;0,0;0;0;0;4;
514;0;0,0;0;0;0;0;
515;0;0,0;0;0;0;0;
516;2;0,054054055;0;0;2;13;
517;0;0,0;0;0;0;0;
518;13;0,17567568;12;0;0;31;
519;0;0,0;0;0;0;0;
520;1;0,05;0;0;1;0;
521;5;0,071428575;4;0;0;30;
522;1;0,020833334;0;0;1;23;
523;0;0,0;0;0;0;0;
524;0;0,0;0;0;0;12;
525;1;0,025641026;0;1;0;9;
526;1;0,04761905;0;0;1;0;
527;3;0,08108108;0;1;0;0;
