SUBMOSTRA;DL;DE;F/MAX;F/DEP;F/ID;M/MAX
174;10;0,27027026;9;0;0;0;
175;5;0,16129032;4;0;0;5;
176;5;0,10204082;1;0;0;4;
177;20;0,2631579;20;0;0;17;
178;8;0,17021276;6;0;0;16;
179;0;0,0;0;0;0;4;
180;5;0,11627907;0;2;0;13;
181;0;0,0;0;0;0;0;
182;6;0,13333334;0;4;0;8;
183;0;0,0;0;0;0;0;
184;4;0,074074075;2;0;0;9;
185;10;0,3448276;0;0;10;0;
186;18;0,2278481;12;0;0;7;
187;3;0,05172414;0;3;0;19;
188;0;0,0;0;0;0;0;
189;18;0,39130434;17;0;0;0;
190;2;0,060606062;1;0;0;4;
191;1;0,05882353;0;0;1;0;
192;6;0,10169491;5;0;0;29;
193;0;0,0;0;0;0;0;
194;1;0,016949153;0;0;1;19;
195;3;0,1764706;0;1;0;0;
196;22;0,30136988;3;0;0;28;
197;2;0,10526316;0;1;0;0;
198;1;0,03448276;0;0;1;0;
199;0;0,0;0;0;0;7;
200;16;0,36363637;13;0;0;0;
201;3;0,0625;3;0;0;20;
202;0;0,0;0;0;0;0;
203;11;0,21568628;5;0;0;20;
204;7;0,22580644;1;0;0;0;
205;0;0,0;0;0;0;6;
206;2;0,03846154;0;0;2;12;
207;0;0,0;0;0;0;0;
208;7;0,18421052;5;0;0;3;
209;60;0,625;37;0;0;21;
210;12;0,54545456;4;0;0;0;
211;0;0,0;0;0;0;0;
212;0;0,0;0;0;0;0;
213;7;0,14285715;3;0;0;0;
214;0;0,0;0;0;0;13;
215;4;0,09756097;0;0;4;0;
216;2;0,06666667;2;0;0;0;
217;0;0,0;0;0;0;0;
218;4;0,05970149;0;0;4;20;
219;2;0,06666667;2;0;0;1;
220;0;0,0;0;0;0;0;
221;2;0,18181819;0;1;0;0;
222;2;0,074074075;1;0;0;0;
223;17;0,27868852;16;0;0;19;
224;0;0,0;0;0;0;0;
225;1;0,045454547;0;0;1;0;
226;4;0,23529412;0;0;4;0;
227;2;0,11111111;0;0;2;0;
228;1;0,055555556;0;0;1;0;
229;2;0,083333336;0;1;0;0;
230;0;0,0;0;0;0;0;
231;0;0,0;0;0;0;6;
232;0;0,0;0;0;0;0;
233;0;0,0;0;0;0;0;
234;0;0,0;0;0;0;0;
235;3;0,069767445;2;0;0;3;
236;3;0,16666667;2;0;0;0;
237;2;0,054054055;0;0;2;6;
238;15;0,25;13;0;0;3;
239;14;0,29787233;6;0;0;3;
240;17;0,36956522;17;0;0;5;
241;0;0,0;0;0;0;9;
242;1;0,017857144;0;0;1;0;
243;17;0,28333333;12;0;0;17;
244;14;0,25;13;0;0;19;
245;14;0,24561404;8;0;0;29;
246;3;0,06818182;3;0;0;23;
247;12;0,24;12;0;0;7;
248;4;0,08163265;0;1;0;1;
249;4;0,102564104;4;0;0;5;
250;11;0,2244898;11;0;0;16;
251;2;0,04347826;0;0;2;3;
252;0;0,0;0;0;0;0;
253;0;0,0;0;0;0;0;
254;2;0,055555556;0;0;2;0;
255;3;0,1;3;0;0;0;
256;2;0,04;0;0;2;18;
257;0;0,0;0;0;0;18;
258;2;0,037037037;0;0;2;14;
259;15;0,30612245;5;0;0;20;
260;10;0,23255815;10;0;0;1;
261;20;0,27027026;15;0;0;31;
262;9;0,2195122;4;0;0;6;
263;11;0,19298245;9;0;0;9;
264;0;0,0;0;0;0;0;
265;12;0,22222222;12;0;0;12;
266;7;0,1521739;6;0;0;6;
267;2;0,1;1;0;0;0;
268;30;0,48387095;12;0;0;12;
269;3;0,13043478;2;0;0;0;
270;31;0,5849057;21;0;0;0;
271;0;0,0;0;0;0;0;
272;53;0,55789477;37;0;0;29;
273;30;0,38961038;18;0;0;20;
274;0;0,0;0;0;0;0;
275;2;0,083333336;0;0;2;0;
276;2;0,060606062;2;0;0;0;
277;0;0,0;0;0;0;0;
278;10;0,15151516;10;0;0;23;
279;11;0,19298245;7;0;0;14;
280;0;0,0;0;0;0;8;
281;2;0,08695652;1;0;0;0;
282;3;0,05;0;1;0;18;
283;4;0,1;2;0;0;6;
284;38;0,6909091;15;0;0;4;
285;10;0,20408164;9;0;0;3;
286;12;0,18181819;9;0;0;3;
287;6;0,27272728;6;0;0;0;
288;28;0,36363637;26;0;0;6;
289;24;0,28235295;23;0;0;33;
290;0;0,0;0;0;0;0;
291;11;0,16666667;7;0;0;20;
292;12;0,23529412;7;0;0;12;
293;9;0,2195122;2;0;0;4;
294;3;0,069767445;3;0;0;9;
295;0;0,0;0;0;0;0;
296;9;0,20454545;4;0;0;8;
297;8;0,16666667;5;0;0;0;
298;0;0,0;0;0;0;0;
299;0;0,0;0;0;0;14;
300;5;0,12820514;0;1;0;11;
301;4;0,11111111;4;0;0;0;
302;1;0,023809524;0;0;1;11;
303;18;0,24657534;13;0;0;13;
304;2;0,046511628;2;0;0;0;
305;4;0,0952381;1;0;0;3;
306;10;0,20408164;6;0;0;14;
307;7;0,14;1;0;0;6;
308;4;0,06451613;0;0;4;21;
309;0;0,0;0;0;0;0;
310;8;0,27586207;0;4;0;0;
311;11;0,34375;10;0;0;0;
312;0;0,0;0;0;0;0;
313;0;0,0;0;0;0;0;
314;0;0,0;0;0;0;0;
315;3;0,12;3;0;0;0;
316;0;0,0;0;0;0;0;
317;3;0,050847456;2;0;0;18;
318;5;0,12820514;3;0;0;7;
319;5;0,2173913;5;0;0;0;
320;0;0,0;0;0;0;1;
321;0;0,0;0;0;0;0;
322;1;0,027027028;0;0;1;13;
323;1;0,037037037;0;0;1;0;
324;6;0,13953489;5;0;0;12;
325;2;0,039215688;0;0;2;12;
326;2;0,04;0;1;0;12;
327;0;0,0;0;0;0;27;
328;0;0,0;0;0;0;0;
329;0;0,0;0;0;0;2;
330;5;0,1;4;0;0;3;
331;0;0,0;0;0;0;0;
332;0;0,0;0;0;0;0;
333;5;0,14285715;2;0;0;0;
334;0;0,0;0;0;0;0;
335;0;0,0;0;0;0;0;
336;10;0,24390244;0;4;0;16;
337;15;0,3488372;8;0;0;13;
338;3;0,115384616;0;1;0;0;
339;0;0,0;0;0;0;2;
340;0;0,0;0;0;0;0;
341;0;0,0;0;0;0;0;
342;0;0,0;0;0;0;0;
343;1;0,028571429;0;0;1;18;
344;15;0,24193548;14;0;0;16;
345;3;0,046153847;2;0;0;22;
346;1;0,05;0;0;1;0;
347;3;0,05357143;2;0;0;2;
348;0;0,0;0;0;0;0;
349;15;0,22727273;10;0;0;0;
350;4;0,0625;4;0;0;10;
351;29;0,41428572;27;0;0;7;
352;11;0,22;0;5;0;10;
353;14;0,26923078;14;0;0;0;
354;10;0,15873016;5;0;0;28;
355;6;0,15789473;0;0;6;5;
356;6;0,13333334;2;0;0;17;
357;2;0,06666667;1;0;0;0;
358;14;0,19178082;7;0;0;24;
359;8;0,14814815;4;0;0;5;
360;12;0,20689656;7;0;0;1;
361;28;0,45901638;5;0;0;31;
362;16;0,32;12;0;0;2;
363;6;0,12765957;6;0;0;2;
364;5;0,16129032;5;0;0;9;
365;11;0,21153846;9;0;0;0;
366;13;0,22807017;12;0;0;4;
367;18;0,45;9;0;0;0;
368;2;0,031746034;2;0;0;22;
369;33;0,4125;25;0;0;28;
370;0;0,0;0;0;0;2;
371;20;0,33898306;11;0;0;5;
372;2;0,037037037;2;0;0;17;
373;7;0,18421052;3;0;0;1;
374;0;0,0;0;0;0;7;
375;0;0,0;0;0;0;0;
376;0;0,0;0;0;0;4;
377;0;0,0;0;0;0;24;
378;0;0,0;0;0;0;2;
379;0;0,0;0;0;0;0;
380;0;0,0;0;0;0;0;
381;0;0,0;0;0;0;5;
382;0;0,0;0;0;0;0;
383;4;0,16666667;4;0;0;2;
384;0;0,0;0;0;0;0;
385;20;0,2857143;12;0;0;5;
386;6;0,15;0;5;0;11;
387;4;0,06557377;4;0;0;13;
388;0;0,0;0;0;0;0;
389;0;0,0;0;0;0;0;
390;3;0,15;3;0;0;0;
391;1;0,032258064;0;0;1;0;
392;0;0,0;0;0;0;0;
393;7;0,20588236;7;0;0;4;
394;7;0,25;7;0;0;0;
395;6;0,6666667;6;0;0;0;
396;4;0,4;4;0;0;0;
397;2;0,08695652;0;0;2;0;
398;0;0,0;0;0;0;21;
399;8;0,125;3;0;0;14;
400;22;0,32352942;14;0;0;16;
401;7;0,1891892;2;0;0;0;
402;1;0,033333335;0;0;1;0;
403;1;0,023255814;0;0;1;6;
404;6;0,17142858;6;0;0;0;
405;3;0,06521739;0;1;0;3;
406;8;0,14545454;6;0;0;19;
407;0;0,0;0;0;0;0;
408;0;0,0;0;0;0;3;
409;12;0,22222222;12;0;0;13;
410;0;0,0;0;0;0;0;
411;0;0,0;0;0;0;2;
412;0;0,0;0;0;0;0;
413;2;0,03846154;0;0;2;25;
414;0;0,0;0;0;0;2;
415;5;0,084745765;1;0;0;22;
416;0;0,0;0;0;0;7;
417;0;0,0;0;0;0;0;
418;5;0,094339624;5;0;0;15;
419;0;0,0;0;0;0;10;
420;0;0,0;0;0;0;8;
421;21;0,35;5;0;0;34;
422;0;0,0;0;0;0;14;
423;1;0,041666668;0;0;1;0;
424;1;0,11111111;0;0;1;0;
425;1;0,025;0;0;1;0;
426;2;0,048780486;0;0;2;8;
427;0;0,0;0;0;0;9;
428;0;0,0;0;0;0;0;
429;7;0,114754096;7;0;0;19;
430;0;0,0;0;0;0;0;
431;4;0,17391305;3;0;0;0;
432;1;0,023255814;0;0;1;6;
433;10;0,22727273;9;0;0;0;
434;5;0,078125;3;0;0;31;
435;1;0,023255814;0;0;1;23;
436;0;0,0;0;0;0;1;
437;0;0,0;0;0;0;0;
438;3;0,06382979;0;1;0;4;
439;19;0,296875;18;0;0;0;
440;7;0,17948718;6;0;0;3;
441;1;0,018518519;0;0;1;20;
442;1;0,021276595;0;0;1;5;
443;9;0,27272728;8;0;0;0;
