SUBMOSTRA;DL;DE;F/MAX;F/DEP;F/ID;M/MAX
173;7;0,1521739;4;0;0;0;
174;0;0,0;0;0;0;2;
175;9;0,1875;7;0;0;1;
176;5;0,09090909;5;0;0;2;
177;3;0,1875;3;0;0;0;
178;6;0,115384616;4;0;0;22;
179;5;0,23809524;5;0;0;0;
180;0;0,0;0;0;0;0;
181;0;0,0;0;0;0;0;
182;9;0,17307693;7;0;0;9;
183;19;0,5;15;0;0;0;
184;9;0,21428572;7;0;0;1;
185;4;0,08163265;4;0;0;4;
186;13;0,3939394;0;1;0;6;
187;14;0,22222222;14;0;0;8;
188;0;0,0;0;0;0;16;
189;4;0,102564104;4;0;0;7;
190;9;0,21428572;9;0;0;18;
191;11;0,25581396;11;0;0;4;
192;0;0,0;0;0;0;0;
193;14;0,21875;14;0;0;5;
194;14;0,3043478;14;0;0;5;
195;0;0,0;0;0;0;0;
196;13;0,22413793;13;0;0;2;
197;3;0,09090909;1;0;0;2;
198;19;0,3392857;17;0;0;0;
199;4;0,10526316;3;0;0;1;
200;6;0,115384616;6;0;0;14;
201;1;0,05263158;0;0;1;0;
202;11;0,26190478;10;0;0;0;
203;12;0,30769232;11;0;0;5;
204;3;0,08571429;3;0;0;0;
205;13;0,24528302;13;0;0;2;
206;0;0,0;0;0;0;0;
207;1;0,04347826;0;0;1;0;
208;0;0,0;0;0;0;0;
209;1;0,017857144;0;0;1;17;
210;19;0,30645162;19;0;0;0;
211;34;0,52307695;33;0;0;0;
212;10;0,23809524;9;0;0;3;
213;28;0,36363637;26;0;0;0;
214;9;0,16071428;8;0;0;9;
215;5;0,11904762;5;0;0;3;
216;7;0,109375;3;0;0;18;
217;0;0,0;0;0;0;0;
218;16;0,2580645;16;0;0;17;
219;18;0,28125;16;0;0;18;
220;3;0,05882353;3;0;0;0;
221;15;0,2777778;10;0;0;1;
222;3;0,06666667;3;0;0;0;
223;0;0,0;0;0;0;10;
224;0;0,0;0;0;0;0;
225;0;0,0;0;0;0;0;
226;7;0,1;7;0;0;16;
227;9;0,15789473;8;0;0;1;
228;17;0,2125;17;0;0;17;
229;18;0,28125;16;0;0;5;
230;9;0,19148937;7;0;0;0;
231;5;0,07575758;5;0;0;10;
232;0;0,0;0;0;0;7;
233;5;0,094339624;4;0;0;4;
234;12;0,16666667;11;0;0;10;
235;2;0,06666667;1;0;0;0;
236;15;0,2542373;15;0;0;8;
237;35;0,4375;35;0;0;20;
238;5;0,12820514;5;0;0;0;
239;0;0,0;0;0;0;0;
240;37;0,43529412;32;0;0;3;
241;2;0,039215688;2;0;0;8;
242;0;0,0;0;0;0;0;
243;0;0,0;0;0;0;0;
244;30;0,36144578;28;0;0;16;
245;7;0,10769231;5;0;0;2;
246;14;0,25925925;13;0;0;0;
247;0;0,0;0;0;0;0;
248;1;0,03846154;0;0;1;0;
249;25;0,3846154;23;0;0;1;
250;15;0,20833333;13;0;0;11;
251;14;0,27450982;13;0;0;0;
252;17;0,2982456;11;0;0;20;
253;13;0,26;13;0;0;0;
254;23;0,40350878;22;0;0;0;
255;1;0,025;0;0;1;10;
256;0;0,0;0;0;0;0;
257;0;0,0;0;0;0;0;
258;7;0,1590909;7;0;0;0;
259;6;0,15;6;0;0;1;
260;0;0,0;0;0;0;10;
261;0;0,0;0;0;0;4;
262;7;0,11666667;0;4;0;15;
263;8;0,22857143;0;7;0;0;
264;7;0,10144927;6;0;0;25;
265;14;0,31111112;12;0;0;0;
266;0;0,0;0;0;0;0;
267;3;0,04918033;0;0;3;14;
268;31;0,5344828;31;0;0;0;
269;16;0,22222222;11;0;0;11;
270;1;0,030303031;0;1;0;3;
271;1;0,05882353;0;1;0;0;
272;3;0,05172414;0;0;3;19;
273;21;0,32307693;16;0;0;13;
274;0;0,0;0;0;0;3;
275;0;0,0;0;0;0;0;
276;0;0,0;0;0;0;0;
277;0;0,0;0;0;0;0;
278;0;0,0;0;0;0;0;
279;0;0,0;0;0;0;0;
280;0;0,0;0;0;0;0;
281;4;0,08510638;4;0;0;0;
282;0;0,0;0;0;0;0;
283;10;0,22222222;8;0;0;0;
284;11;0,15714286;11;0;0;38;
285;10;0,14285715;8;0;0;7;
286;5;0,084745765;5;0;0;1;
287;0;0,0;0;0;0;0;
288;3;0,33333334;3;0;0;0;
289;4;0,09090909;4;0;0;10;
290;0;0,0;0;0;0;0;
291;0;0,0;0;0;0;28;
292;0;0,0;0;0;0;0;
293;0;0,0;0;0;0;0;
294;0;0,0;0;0;0;1;
295;9;0,20454545;3;0;0;25;
296;6;0,15;6;0;0;0;
297;0;0,0;0;0;0;0;
298;7;0,14285715;6;0;0;0;
299;1;0,023255814;0;0;1;0;
300;0;0,0;0;0;0;14;
301;0;0,0;0;0;0;0;
302;9;0,14754099;8;0;0;20;
303;0;0,0;0;0;0;0;
