t[ei]n.* que;
bueno;
loco;
tio;
abarat.*;
abarc.*;
abarrot.*;
abast.*;
abat.*;
abertura;
abob.*;
aboll.*;
abotxorn.*;
abrotx.*;
abutxe.*;
acantil.*;
acarrej.*;
acàs ;
acaudal.*;
acera;
aclar.*;
aclaració;
acometida;
aconteixement;
acoplament;
acos.*/acoss.*;
acostumbr.*;
acovard.*;
acreedor;
acuny.*;
acuse de recibo;
adecent.*;
adelant.*;
ademés;
adiestr.*;
admit.*;
adoléix.*;
adoquí;
a dures penes;
afan;
afan.*-se;
afe.*;
afrenta;
agalles;
agasajo;
agatx.*-se;
agobi.*;
agot.*;
agrad;
agrav.*;
agravi.*;
agravio;
agüero;
aguileny, aguilenc;
agujetes;
agulletes;
ahínco;
ahorr.*;
aigu.*;
ajedrès;
alabança;
alab.*;
alardej.*;
albedrío;
albornós;
alboroto;
alcanç.*;
aldaba;
aleació;
alent.*;
alevosia;
alfar.*;
alfombra;
alicaigut;
aliento;
aliny.*;
alivi.*;
almeja;
almorrana;
alpiste;
alquil.*;
alquitrà;
alrededors;
altillo;
alumbr.*;
allunitz.*;
amaestr.*;
amamant.*;
amanéix.* ;
amanéix.* ;
amans.*;
amapola;
àmb.*;
ambos;
ameno;
ameriss.*;
amilan.*-se;
aminor.*;
amodorr.*-se;
amold.*;
amordass.*;
amortigu.*;
amparo;
ampolla;
amurall.*;
ancla;
andami;
andén;
àngul;
angustia;
anid.*;
ansi.*;
antebraç;
antes;
anticipo;
antifàs;
antoj.*-se;
anyad.*;
apacible;
apacigu.*;
apanyo;
aparato;
aparatós;
apariència;
apego;
apen.*;
apenes;
apercib.*;
apissonadora;
aplaç.*;
aplastant;
aplast.*;
aplauso;
apoi.*;
apolill.*-se;
apremi.*;
apres.*;
apressuradament;
apret.*;
apur.*;
apuro;
aquestos;
armonia;
arandela;
àrb.*;
arboleda;
arcén;
arcilla;
aro;
arrabal;
arraig.*;
arranque;
arrastr.*;
arrebat.*;
arrecif;
arreglo;
arremetida;
arrepent.*-se;
arroj.*;
arroio;
arroll.*;
arteson.*;
artilugi;
artimanya;
asador;
as.*;
asco;
assedi.*;
assedio;
aseo;
asombrós;
asqua;
assafata;
assamblea;
assiento;
assom.*;
assombr.*;
assunto, assumpt, assumpte;
asust.*;
astilla;
astill.*;
atadura;
atare.*;
atasc.*;
ataüt;
atavi.*-se;
atemoris.*;
aterr.*;
aterriss.*;
atestigu.*;
atiborr.*;
atolondr.*;
atolondr.*;
atornill.*;
atragant.*-se;
atràs;
atravess.*;
atril;
atzavatxe;
aull.*;
aun.*;
aunque;
avalanxa;
avantpos.*;
avaro;
avasall.*;
averigu.*;
avestruç;
avorréix.*;
avui en dia;
babosa;
bactèria;
badén;
bahia;
balsa;
bandeja;
bandido;
banquillo;
barco;
barquillo;
barrunt.*;
bàrtuls;
bassura;
bat.*;
bedel;
berberecho;
biombo;
bisagra;
bisco;
bisiesto;
bisuteria;
bobada;
bobo;
bocacalle;
bocadillo;
bocina;
bócio;
bolso;
bombilla;
bonito;
boquete;
botiquí;
botxorn;
bucej.*;
buhardilla;
buitre;
bulto;
búsqueda;
busso;
bussó;
cabestrillo;
cadera;
calent.*;
calentura;
calific.*;
calit.*;
càmara;
camarí;
camarot;
camilla;
camilla;
caminata;
candau, cand.*;
candelabro;
cansanci;
cantit.*;
canyeria;
caradura;
carajillo;
careig;
caréix.*;
carinyo;
carinyós;
carinyosament;
cartelera;
cascarràbies;
casi;
catarates;
catastre;
catxivatxe;
catxondo;
caudal;
cautiu;
cebo;
celofà;
celós;
celosia;
cerradura;
cerrajero;
cerrojo;
césped;
cetro;
cierre;
ciervo;
cigüenya;
ciment.*;
cinzell;
ciudatà;
claret.*;
claro;
coalig.*-se;
cofradia;
coixera;
colilla;
col·lision.*;
coletilla;
colgador;
colm.*;
colmena;
colmo;
columpi;
compadéix.*;
companyerisme;
complexe;
compostura;
comunment;
concejal;
condó;
condolència;
conllev.*;
connexion.*;
cono;
conta;
convulsion.*;
conxa;
copla;
copo;
corassonada;
corba;
cordillera;
cordura;
corpinyo;
corriment;
corsé;
corseteria;
costra;
cotej.*;
cotidià;
cotilla;
coto;
